GPU Name,Architecture,DirectX,Cache,Manufacturer,Power Consumption,Memory,Bandwidth,Memory Bus,Clock Speed,Memory Type,Notebook_GPU,Pixel Speed,Process,Release Date,Release Price,TMUs,Texture Rate
GeForce GTX 1060M,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,Yes,80,16,01/09/2016 ,$0.00,106.0,177
GeForce GTX 1080 Ti MSI Aero 11GB,Pascal P102 ,12.1,1536(x2),Nvidia,250,11264 ,11264,176,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,112.0,354
GeForce GTX 1080 Ti MSI Aero OC 11GB,Pascal P102 ,12.1,1536(x2),Nvidia,250,11264 ,11264,176,1376,GDDR5X,No,143,16,05/03/2017 ,$0.00,112.0,363
GeForce GTX 1080 Ti Gigabyte AORUS Xtreme Edition 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1404,GDDR5X,No,151,16,05/03/2017 ,$0.00,56.0,386
GeForce GTX 950 LP Asus 2GB Edition,Maxwell GM206/251/A1 ,12.1,1024,Nvidia,75,2048 ,2048,128,1653,GDDR5,No,38,28,06/03/2016 ,$0.00,48.0,57
GeForce GTX 1080 Ti Gainward Founders Edition 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,224.0,354
GeForce GTX 980M 8GB SLI,Maxwell GM204 (x2) ,12.1,3072(x2),Nvidia,200,16384 ,16384,256,1253,GDDR5,Yes,133,28,07/10/2014 ,$0.00,96.0,199
GeForce GTX 980MX 8GB,Maxwell GM204 ,12.1,2048,Nvidia,122,8192 ,8192,256,1253,GDDR5,Yes,72,28,01/06/2016 ,$0.00,104.0,117
GeForce GTX 950 LP 2GB,Maxwell GM206/251/A1 ,12.1,1024,Nvidia,75,2048 ,2048,128,1653,GDDR5,No,38,28,01/03/2016 ,$159.00,48.0,57
GeForce GTX 980M 8GB,Maxwell GM204/N16E/GX/A2 ,12.1,2048,Nvidia,100,8192 ,8192,256,1253,GDDR5,Yes,72,28,07/10/2014 ,$0.00,96.0,108
GeForce GTX 980M 4GB,Maxwell GM204/N16E/GX/A2 ,12.1,2048,Nvidia,100,4096 ,4096,256,1253,GDDR5,Yes,72,28,07/10/2014 ,$0.00,96.0,108
GeForce GTX 970MX 3GB,Maxwell GM204 ,12.1,2048,Nvidia,75,3072 ,3072,192,1253,GDDR5,Yes,58,28,01/06/2016 ,$0.00,88.0,91
GeForce GTX 970M 6GB SLI,Maxwell GM204/N16E/GT/A2 (x2) ,12.1,2048(x2),Nvidia,150,12288 ,12288,192,1253,GDDR5,Yes,95,28,07/10/2014 ,$0.00,80.0,159
GeForce GTX 950 Inno3D iChill 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,110,2048 ,2048,128,1700,GDDR5,No,43,28,20/08/2015 ,$0.00,48.0,64
GeForce GTX 970M 3GB,Maxwell GM204 ,12.1,2048,Nvidia,81,3072 ,3072,192,1253,GDDR5,Yes,50,28,07/10/2014 ,$0.00,80.0,83
GeForce GTX 965M 4GB SLI,Maxwell GM204/N16E/GS (x2) ,12.1,2048(x2),Nvidia,100,4096 ,4096,128,1250,GDDR5,Yes,61,28,07/01/2015 ,$0.00,64.0,122
GeForce GTX 980 4GB,Maxwell GM204 ,12.1,2048,Nvidia,165,4096 ,4096,256,1750,GDDR5,Yes,76,28,22/09/2015 ,$0.00,128.0,152
GeForce GTX 1080 Ti Colorful Founders Edition 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,56.0,354
GeForce GTX 965M 4GB,Maxwell GM204/N16E/GS ,12.1,2048,Nvidia,50,4096 ,4096,128,1250,GDDR5,Yes,30,28,07/01/2015 ,$0.00,64.0,61
GeForce GTX 1080 Ti EVGA Founders Edition 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,224.0,354
GeForce GTX 1080 Ti ELSA Founders Edition 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,56.0,354
GeForce GTX 1080 Ti EVGA FTW3 Gaming 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,148,16,05/03/2017 ,$0.00,56.0,377
GeForce GTX 1080 Ti ASUS Turbo 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,10/03/2017 ,$0.00,224.0,354
GeForce GTX 1080 Ti ASUS ROG STRIX OC 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1388,GDDR5X,No,150,16,05/03/2017 ,$0.00,224.0,383
GeForce GTX 970M 6GB,Maxwell GM204 ,12.1,2048,Nvidia,81,6144 ,6144,192,1253,GDDR5,Yes,48,28,07/10/2014 ,$0.00,80.0,79
GeForce GTX 1080 Ti,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,05/03/2017 ,$699.00,224.0,354
GeForce GTX 950 LP MSI OC v2 2GB Edition,Maxwell GM206/251/A1 ,12.1,1024,Nvidia,75,2048 ,2048,128,1653,GDDR5,No,40,28,01/03/2016 ,$0.00,48.0,60
GeForce GTX 950 Galax KFA2 OC 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,90,2048 ,2048,128,1653,GDDR5,No,42,28,20/08/2015 ,$0.00,48.0,63
GeForce GTX 1080 Ti Galax Hall of Fame Edition 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,224.0,354
GeForce GTX 950 EVGA FTW ACX 2.0 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,125,2048 ,2048,128,1653,GDDR5,No,45,28,20/08/2015 ,$179.00,48.0,67
GeForce GTX 1080 Ti Gigabyte G1 Gaming 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,144,16,05/03/2017 ,$0.00,56.0,366
GeForce GTX 1080 Ti Galax Founders Edition 11GB,Pascal P102 ,12.1,3072,Nvidia,220,11264 ,11264,352,1376,GDDR5X,No,139,16,05/03/2017 ,$0.00,224.0,354
GeForce GTX 1080 Ti EVGA SC2 Gaming 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,147,16,05/03/2017 ,$0.00,56.0,374
GeForce GTX 1080 Ti EVGA SC Black Edition Gaming 11GB,Pascal P102 ,12.1,768(x4),Nvidia,220,11264 ,11264,88,1376,GDDR5X,No,147,16,05/03/2017 ,$0.00,56.0,374
GeForce GTX 950 2GB,Maxwell GM206/250 ,12.1,1024,Nvidia,90,2048 ,2048,128,1653,GDDR5,No,38,28,20/08/2015 ,$159.00,48.0,57
GeForce GTX 950 2GB SLI,Maxwell GM206/250 (x2) ,12.1,1024(x2),Nvidia,180,4096 ,4096,128,1653,GDDR5,No,76,28,20/08/2015 ,$318.00,48.0,114
GeForce GTX 950 Asus Mini 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,150,2048 ,2048,128,1653,GDDR5,No,38,28,20/08/2015 ,$0.00,48.0,57
GeForce GTX 950 Inno3D OC 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,90,2048 ,2048,128,1653,GDDR5,No,39,28,20/08/2015 ,$0.00,48.0,59
GeForce GTX 950 Gainward 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,90,2048 ,2048,128,1653,GDDR5,No,38,28,20/08/2015 ,$0.00,48.0,57
GeForce GTX 950 EVGA Superclocked 2.0 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,110,2048 ,2048,128,1653,GDDR5,No,43,28,20/08/2015 ,$179.00,48.0,64
GeForce GTX 950 Asus OC 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,75,2048 ,2048,128,1653,GDDR5,No,41,28,20/08/2015 ,$0.00,48.0,61
GeForce GTX 950 EVGA SSC ACX 2.0 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,125,2048 ,2048,128,1653,GDDR5,No,45,28,20/08/2015 ,$169.00,48.0,67
GeForce GTX 950 Galax KFA2 EX OChite 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,90,2048 ,2048,128,1683,GDDR5,No,45,28,20/08/2015 ,$0.00,48.0,67
GeForce GTX 950 EVGA Superclocked+ ACX 2.0 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,110,2048 ,2048,128,1653,GDDR5,No,43,28,20/08/2015 ,$179.00,48.0,65
GeForce GTX 950 Gigabyte XTREME Gaming 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,120,2048 ,2048,128,1750,GDDR5,No,45,28,09/09/2015 ,$179.00,48.0,67
GeForce GTX 950 Gigabyte OC 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,100,2048 ,2048,128,1653,GDDR5,No,40,28,20/08/2015 ,$0.00,48.0,60
GeForce GTX 950 GigabyteindForce 2X OC 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,100,2048 ,2048,128,1653,GDDR5,No,41,28,20/08/2015 ,$169.00,48.0,61
GeForce GTX 950 Inno3D iChill Ultra 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,110,2048 ,2048,128,1700,GDDR5,No,44,28,20/08/2015 ,$0.00,48.0,66
GeForce GTX 950 Asus DirectCU II OC Strix Gaming 2GB Edition,Maxwell GM206/250 ,12.1,1024,Nvidia,150,2048 ,2048,128,1653,GDDR5,No,43,28,20/08/2015 ,$169.00,48.0,65
GeForce GTX 1070 MSI Aero 8GB Edition,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2002,GDDR5,No,108,16,10/06/2016 ,$0.00,120.0,202
GeForce GTX 960 Inno3D HerculeZ X3 Air Boss Ultra 2GB Edition,Maxwell GM206/300/A1 ,12.1,1024,Nvidia,160,2048 ,2048,128,1800,GDDR5,No,45,28,22/01/2015 ,$0.00,64.0,89
GeForce GTX 1070 Galax HOF Limited Edition 8GB,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2002,GDDR5,No,119,16,10/06/2016 ,$0.00,120.0,223
GeForce GTX 1060 Zotac Mini 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,82,16,18/08/2016 ,$199.99,72.0,123
GeForce GTX 1060 MSI Gaming 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,83,16,18/08/2016 ,$220.00,72.0,125
GeForce GTX 1060 MSI Armor V1 3G,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,82,16,18/08/2016 ,$221.00,72.0,123
GeForce GTX 1060 MSI Gaming 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,83,16,19/07/2016 ,$289.99,80.0,139
GeForce GTX 1060 MSI Gaming X 6G Edition,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,86,16,19/07/2016 ,$289.00,80.0,143
GeForce GTX 1060 MSI Gaming X 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,86,16,18/08/2016 ,$235.02,72.0,128
GeForce GTX 1070,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2002,GDDR5,No,108,16,10/06/2016 ,$379.00,120.0,202
GeForce GTX 1060 MSI OCV1 3G,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,84,16,29/08/2016 ,$221.00,72.0,127
GeForce GTX 1060 Zotac AMP 6GB Edition,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,85,16,19/07/2016 ,$339.00,80.0,142
GeForce GTX 1060 MSI OC 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,84,16,18/08/2016 ,$206.00,72.0,127
GeForce GTX 1060 Palit Jetstream 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,82,16,19/07/2016 ,$300.00,80.0,137
GeForce GTX 1060 Zotac Mini 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,82,16,19/07/2016 ,$318.00,80.0,137
GeForce GTX 1060 Palit Super Jetstream 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,89,16,19/07/2016 ,$320.00,80.0,148
GeForce GTX 1070 Asus Dual,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2002,GDDR5,No,113,16,13/07/2016 ,$430.00,120.0,213
GeForce GTX 980 Zotac AMP! Omega 4GB Edition,Maxwell GM204/400/A1 ,12.1,2048,Nvidia,170,4096 ,4096,256,1800,GDDR5,No,83,28,19/09/2014 ,$0.00,128.0,167
GeForce GTX 1060 MSI Armor 6G OC,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2027,GDDR5,No,84,16,19/07/2016 ,$279.00,80.0,141
GeForce GTX 1070 Asus Founders,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2002,GDDR5,No,108,16,10/06/2016 ,$379.00,120.0,202
GeForce GTX 1060 MSI 6GT OC,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2027,GDDR5,No,84,16,19/07/2016 ,$249.00,80.0,141
GeForce GTX 1060 Inno3D iChill X3 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2052,GDDR5,No,86,16,18/08/2016 ,$299.99,72.0,128
GeForce GTX 1060 Gigabyte G1 Gaming 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,87,16,18/08/2016 ,$289.99,72.0,130
GeForce GTX 1060 Galax EX OChite 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,85,16,18/08/2016 ,$299.99,72.0,128
GeForce GTX 1060 Gigabyteindforce 2X OC 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,85,16,18/08/2016 ,$243.44,72.0,128
GeForce GTX 1060 Gigabyte GTX G1 Gaming 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,87,16,19/07/2016 ,$289.99,80.0,145
GeForce GTX 1060 Gigabyteindforce 2X OC 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,85,16,19/07/2016 ,$300.64,80.0,142
