GPU Name,Architecture,DirectX,Cache,Manufacturer,Power Consumption,Memory,Bandwidth,Memory Bus,Clock Speed,Memory Type,Notebook_GPU,Pixel Speed,Process,Release Date,Release Price,TMUs,Texture Rate
Quadro4 550 XGL,NV17 A3 ,8.1,0,Nvidia,0,64 ,64,128,200,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
Quadro4 780 XGL,NV28 ,8.1,0,Nvidia,0,128 ,128,128,275,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
Quadro4 900 XGL,NV28GL A2 ,8.1,0,Nvidia,0,128 ,128,128,325,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
Quadro4 750 XGL,NV25 A2 ,8.1,0,Nvidia,0,128 ,128,128,225,DDR,No,1,150,19/02/2002 ,$0.00,8.0,2
Quadro4 700 XGL,NV25 A2 ,8.1,0,Nvidia,0,64 ,64,128,225,DDR,No,1,150,19/02/2002 ,$0.00,8.0,2
Quadro4 500 XGL,NV17 A3 ,8.1,0,Nvidia,0,128 ,128,128,166,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
Quadro4 580 XGL,NV18 A4 ,8.1,0,Nvidia,0,64 ,64,128,200,DDR,No,1,150,01/11/2002 ,$0.00,4.0,1
Quadro4 980 XGL,NV28GL A2 ,8.1,0,Nvidia,0,128 ,128,128,325,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
GeForce4 Ti 4800 SE,NV28 ,8.1,0,Nvidia,0,128 ,128,128,275,DDR,No,1,150,20/01/2003 ,$0.00,8.0,2
Quadro4 380 XGL,NV18 A4 ,8.1,0,Nvidia,0,128 ,128,128,256,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
GeForce 7950 GX2,G71 ,9.0,,Nvidia,110,1024 ,1024,256,600,GDDR3,No,16,90,01/06/2006 ,$0.00,24.0,24
Radeon 9600 PRO PC/Mac Edition,RV360 ,9.0,0,AMD,0,256 ,256,128,300,DDR,No,2,130,01/08/2005 ,$0.00,4.0,2
Radeon X1050,RV370 ,9.0,0,AMD,24,128 ,128,64,333,DDR2,No,2,110,07/12/2006 ,$0.00,4.0,2
Radeon X1050 256MB,RV410 ,9.0,0,AMD,24,256 ,256,128,333,DDR2,No,3,110,01/12/2006 ,$0.00,8.0,3
Radeon 9800 Pro,R360 ,9.0,0,AMD,47,128 ,128,256,700,DDR2,No,3,150,01/03/2003 ,$0.00,8.0,3
Quadro NVS 285,NV44 A2 ,9.0,0,Nvidia,18,128 ,128,128,275,DDR,No,1,110,06/06/2006 ,$0.00,4.0,1
GeForce FX 5950 Ultra,NV38 ,9.0,0,Nvidia,74,256 ,256,256,475,DDR,No,2,130,23/10/2003 ,$0.00,4.0,2
GeForce FX 5900XT,NV35 ,9.0,0,Nvidia,35,128 ,128,256,350,DDR,No,2,130,01/12/2003 ,$0.00,4.0,2
Radeon 9600 PRO,RV360 ,9.0,0,AMD,18,128 ,128,128,300,DDR,No,2,130,01/10/2003 ,$0.00,4.0,2
GeForce 6800 GT,NV45 ,9.0,0,Nvidia,67,256 ,256,256,500,GDDR3,No,6,130,08/06/2004 ,$0.00,16.0,6
Radeon 9800 XT,R360 ,9.0,0,AMD,60,256 ,256,256,730,DDR,No,3,150,01/10/2003 ,$0.00,8.0,3
GeForce FX 5900 Ultra,NV35 ,9.0,0,Nvidia,59,256 ,256,256,425,DDR,No,2,130,12/05/2003 ,$0.00,4.0,2
GeForce 7950 GT,G71 ,9.0,0,Nvidia,65,512 ,512,256,700,GDDR3,No,13,90,06/08/2006 ,$0.00,24.0,13
GeForce 7900 GT,G71 ,9.0,0,Nvidia,49,256 ,256,256,660,GDDR3,No,7,90,01/03/2006 ,$0.00,24.0,11
GeForce 7500 LE,G72 ,9.0,0,Nvidia,0,256 ,256,64,324,DDR2,No,2,90,22/03/2006 ,$0.00,8.0,4
Mobility Radeon X1350,M62 ,9.0,0,AMD,0,128 ,128,64,392,DDR2,Yes,2,100,18/09/2006 ,$0.00,4.0,2
GeForce 8800 GTS 512MB SLI,G92 (x2) ,10.0,,Nvidia,270,1024 ,1024,256,800,GDDR3,No,21,65,01/12/2007 ,$0.00,64.0,83
GeForce 8800 GTS,Tesla G80/100/K0/A2 ,10.0,0,Nvidia,143,320 ,320,320,792,GDDR3,No,10,90,01/02/2007 ,$0.00,24.0,12
GeForce 9600 GS,G94a ,10.0,0,Nvidia,0,768 ,768,192,500,DDR2,No,6,65,01/05/2008 ,$0.00,24.0,12
GeForce 8800 GTS 512MB,Tesla G92 ,10.0,0,Nvidia,135,512 ,512,256,800,GDDR3,No,10,65,01/12/2007 ,$0.00,64.0,42
GeForce 8800 GTS 640MB,Tesla G80 ,10.0,0,Nvidia,143,640 ,640,320,792,GDDR3,No,10,90,01/11/2006 ,$0.00,24.0,12
GeForce 9600 GSO,G92 ,10.0,0,Nvidia,84,384 ,384,192,800,GDDR3,No,7,65,01/05/2008 ,$0.00,48.0,26
GeForce 9600 GT 1GB,Tesla G94/300/A1 ,10.0,0,Nvidia,95,1024 ,1024,256,900,GDDR3,No,10,65,21/02/2008 ,$0.00,32.0,21
GeForce 9300 GS,G98 ,10.0,0,Nvidia,0,512 ,512,64,500,DDR2,No,2,65,01/06/2008 ,$0.00,8.0,5
GeForce 9300 GE,G98 ,10.0,0,Nvidia,0,512 ,512,64,500,DDR2,No,2,65,01/06/2008 ,$0.00,8.0,4
GeForce 9400 GT,G96a/b ,10.0,0,Nvidia,50,512 ,512,128,400,DDR2,No,2,65,27/08/2008 ,$0.00,8.0,4
GeForce 8800 GTX 768MB,Tesla G80 ,10.0,0,Nvidia,158,768 ,768,384,900,GDDR3,No,14,90,01/11/2006 ,$0.00,32.0,18
GeForce 9500 GT,Tesla G96C ,10.0,0,Nvidia,50,512 ,512,128,800,GDDR3,No,4,55,29/07/2008 ,$0.00,16.0,9
GeForce 9800 GTX SLI,G92 (x2) ,10.0,,Nvidia,280,1024 ,1024,256,1100,DDR3,No,22,65,01/04/2008 ,$0.00,56.0,76
GeForce 9600 GT 512MB,Tesla G94/300/A1 ,10.0,0,Nvidia,95,512 ,512,256,900,GDDR3,No,10,65,01/02/2008 ,$200.00,32.0,21
GeForce GT 120,Tesla G96b ,10.0,0,Nvidia,50,512 ,512,128,500,DDR2,No,4,55,01/03/2009 ,$0.00,16.0,8
GeForce G 100,Tesla G98 ,10.0,0,Nvidia,35,512 ,512,64,500,DDR2,No,2,65,01/03/2009 ,$0.00,8.0,5
GeForce GTX 280M,Tesla G92/N10E/GTX ,10.0,0,Nvidia,75,1024 ,1024,256,950,GDDR3,Yes,9,55,01/03/2009 ,$0.00,64.0,37
GeForce GTX 285M,Tesla G92/N10E/GTX1/B1 ,10.0,0,Nvidia,75,1024 ,1024,256,1000,GDDR3,Yes,10,65,01/02/2010 ,$0.00,64.0,38
GeForce GTX 260M,Tesla G92/N10E/GT ,10.0,0,Nvidia,65,1024 ,1024,256,950,GDDR3,Yes,9,65,01/03/2009 ,$0.00,56.0,31
GeForce GTX 260M SLI,Tesla G92b (x2) ,10.0,,Nvidia,130,2048 ,2048,256,950,GDDR3,Yes,18,55,01/03/2009 ,$0.00,56.0,62
GeForce GTX 280M SLI,Tesla G92b (x2) ,10.0,,Nvidia,150,2048 ,2048,256,950,GDDR3,Yes,19,55,01/03/2009 ,$0.00,64.0,75
GeForce GTX 285M SLI,Tesla G92b (x2) ,10.0,,Nvidia,150,2048 ,2048,128,1020,GDDR3,Yes,19,55,01/02/2010 ,$0.00,64.0,77
GeForce GT 220M,Tesla G96M C1 ,10.0,0,Nvidia,14,1024 ,1024,128,800,DDR3,Yes,4,55,16/08/2009 ,$0.00,16.0,8
GeForce G 103M,G98 ,10.0,0,Nvidia,14,512 ,512,64,500,DDR2,Yes,3,65,01/09/2009 ,$0.00,8.0,5
GeForce 9600 GSO 512MB,G92 ,10.0,0,Nvidia,90,512 ,512,192,900,GDDR3,No,8,65,01/10/2008 ,$0.00,48.0,31
GeForce 9800 GX2 SLI,G92 (x4) ,10.0,0(x4),Nvidia,385,2048 ,2048,256,1000,GDDR3,No,38,65,01/03/2008 ,$0.00,64.0,154
GeForce 9800 GX2,G92 (x2) ,10.0,,Nvidia,197,1024 ,1024,256,1000,GDDR3,No,19,65,01/03/2008 ,$0.00,64.0,77
GeForce 8800 Ultra,Tesla G80 ,10.0,0,Nvidia,172,768 ,768,384,1080,GDDR3,No,15,90,01/05/2007 ,$0.00,32.0,20
GeForce 9800 GT 1GB SLI,Tesla G92/270/A2 (x2) ,10.0,0,Nvidia,200,2048 ,2048,512,900,GDDR3,No,19,65,21/07/2008 ,$320.00,112.0,67
GeForce 9800 GT Green Edition,Tesla G92/270/A2 ,10.0,0,Nvidia,75,512 ,512,256,900,GDDR3,No,9,65,15/03/2009 ,$0.00,56.0,31
GeForce 8800 GTS EVGA SSC 640MB Edition,Tesla G80 ,10.0,0,Nvidia,143,640 ,640,320,900,GDDR3,No,12,90,01/11/2006 ,$0.00,24.0,14
GeForce 9800 GTX,Tesla G92/420/A2 ,10.0,0,Nvidia,140,512 ,512,256,1100,GDDR3,No,11,65,28/03/2008 ,$0.00,64.0,43
GeForce 9800 GT,Tesla G92/270/A2 ,10.0,0,Nvidia,105,512 ,512,256,900,GDDR3,No,10,65,21/07/2008 ,$160.00,56.0,34
GeForce 9600 GT Asus Magic HDMI 512MB Edition,Tesla G94/300/A1 ,10.0,0,Nvidia,50,512 ,512,256,400,GDDR3,No,10,65,01/02/2008 ,$0.00,32.0,19
GeForce 9800 GT 1GB,Tesla G92/270/A2 ,10.0,0,Nvidia,105,1024 ,1024,256,900,GDDR3,No,10,65,21/07/2008 ,$160.00,56.0,34
GeForce 9600 GSO EVGA Dual/Slot 768MB Edition,G92 ,10.0,0,Nvidia,84,768 ,768,192,800,GDDR3,No,7,65,01/05/2008 ,$0.00,48.0,26
GeForce 9800 GTX+,Tesla G92/420/B1 ,10.0,0,Nvidia,141,512 ,512,256,1100,GDDR3,No,12,55,16/01/2009 ,$229.00,64.0,47
GeForce 8800 GT,Tesla G92/270/A2 ,10.0,0,Nvidia,105,512 ,512,256,900,GDDR3,No,10,65,29/10/2007 ,$349.00,56.0,34
GeForce 8600 GT 512MB GDDR3,Tesla G84 ,10.0,0,Nvidia,46,512 ,512,128,700,GDDR3,No,4,80,01/04/2007 ,$0.00,16.0,9
GeForce 8600 GTS 512MB,Tesla G84 ,10.0,0,Nvidia,75,512 ,512,128,1000,GDDR3,No,5,80,01/04/2007 ,$0.00,16.0,11
GeForce GTX 280,Tesla G200/302/A2 ,10.0,0,Nvidia,236,1024 ,1024,512,1107,GDDR3,No,19,65,16/06/2009 ,$649.00,80.0,48
GeForce GTX 275 SLI,Tesla GT200 B3 (x2) ,10.0,,Nvidia,430,1792 ,1792,448,1134,GDDR3,No,35,55,15/01/2009 ,$0.00,80.0,101
GeForce GTX 260 v3 Zotac AMP²! 896MB Edition,Tesla G200/103/B2 ,10.0,0,Nvidia,171,896 ,896,448,1050,GDDR3,No,18,55,16/09/2008 ,$0.00,72.0,47
GeForce GTX 260 v3 Palit Sonic Platinum 896MB Edition,Tesla G200/103/B2 ,10.0,0,Nvidia,171,896 ,896,448,1100,GDDR3,No,18,55,27/11/2008 ,$0.00,72.0,45
GeForce GTX 260 v4,Tesla G200/103/B2 ,10.0,0,Nvidia,182,1792 ,1792,448,1008,GDDR3,No,15,55,08/12/2009 ,$0.00,64.0,33
GeForce GTX 260 v3 Gainward GS 896MB Edition,Tesla G200/103/B2 ,10.0,0,Nvidia,171,896 ,896,448,1100,GDDR3,No,18,55,27/11/2008 ,$0.00,72.0,45
GeForce GTX 260 v3 MSI OC v4 896MB Edition,Tesla G200/103/B2 ,10.0,0,Nvidia,171,896 ,896,448,1050,GDDR3,No,18,55,27/11/2008 ,$0.00,72.0,47
GeForce GTX 260 v3,Tesla G200/103/B2 ,10.0,0,Nvidia,171,896 ,896,448,999,GDDR3,No,16,55,27/11/2008 ,$299.00,72.0,41
GeForce GTS 250 Zotac ECO 1GB Edition,Tesla G92/428/B1 ,10.0,0,Nvidia,125,1024 ,1024,256,1000,GDDR3,No,11,55,01/09/2009 ,$0.00,64.0,43
GeForce GTX 295 Asus 03s ROG 4GB Edition,Tesla G200/400/B3 (x2) ,10.0,,Nvidia,500,4096 ,4096,512,1100,GDDR3,No,36,55,17/06/2009 ,$999.00,80.0,104
GeForce GTX 260,Tesla G200/100/A2 ,10.0,0,Nvidia,182,896 ,896,448,999,GDDR3,No,16,65,16/06/2008 ,$449.00,64.0,37
GeForce GTS 250 XFX Core 1GB Edition,Tesla G92/428/B1 ,10.0,0,Nvidia,150,1024 ,1024,256,1000,GDDR3,No,12,55,04/03/2009 ,$0.00,64.0,47
GeForce GTS 250 v2,Tesla G92/420/A2 ,10.0,0,Nvidia,140,512 ,512,256,1100,GDDR3,No,11,65,29/07/2008 ,$199.00,64.0,43
GeForce GTS 250 v2 Gainward Deep Green 512MB Edition,Tesla G92/420/A2 ,10.0,0,Nvidia,110,512 ,512,256,900,GDDR3,No,11,65,29/07/2008 ,$0.00,64.0,43
GeForce GTX 285 3/Way SLI,Tesla G200/350/B3 (x3) ,10.0,0(x3),Nvidia,0,3072 ,3072,512,1242,GDDR3,No,62,55,01/12/2008 ,$0.00,112.0,218
GeForce GTS 250,Tesla G92/428/B1 ,10.0,0,Nvidia,150,1024 ,1024,256,1100,GDDR3,No,12,55,04/03/2009 ,$199.00,64.0,47
GeForce GTS 240,Tesla G92b ,10.0,0,Nvidia,120,1024 ,1024,256,1100,GDDR3,No,11,55,01/07/2009 ,$0.00,56.0,38
GeForce GT 220,Tesla G94 ,10.0,0,Nvidia,58,1024 ,1024,256,700,GDDR3,No,10,65,26/01/2010 ,$0.00,24.0,14
GeForce GT 230 v2,Tesla G92b ,10.0,0,Nvidia,75,1536 ,1536,192,500,DDR2,No,6,55,01/10/2009 ,$0.00,48.0,24
GeForce GT 230,Tesla G94/300/B1 ,10.0,0,Nvidia,75,512 ,512,256,900,GDDR3,No,10,55,12/10/2009 ,$0.00,24.0,16
GeForce GTX 260 v2,Tesla G200/103/A2 ,10.0,0,Nvidia,182,896 ,896,448,999,GDDR3,No,16,65,16/09/2008 ,$0.00,72.0,41
GeForce 8600 GT Inno3D 512MB GDDR2,Tesla G84 ,10.0,0,Nvidia,47,512 ,512,128,400,GDDR3,No,4,80,01/06/2007 ,$0.00,16.0,9
GeForce GTX 275,Tesla G200/105/B3 ,10.0,0,Nvidia,219,896 ,896,448,1134,GDDR3,No,18,55,15/01/2009 ,$249.00,80.0,51
GeForce GTX 295,Tesla G200/400/B3 (x2) ,10.0,,Nvidia,289,1792 ,1792,448,999,GDDR3,No,32,55,08/01/2009 ,$500.00,80.0,92
GeForce 8600 GTS 256MB,Tesla G84 ,10.0,0,Nvidia,75,256 ,256,128,1000,GDDR3,No,5,80,01/04/2007 ,$0.00,16.0,11
GeForce 8800 GS,G92 ,10.0,0,Nvidia,105,384 ,384,192,800,GDDR3,No,7,65,01/01/2008 ,$0.00,48.0,26
GeForce 8600 GT Asus Magic 512MB DDR2,Tesla G84 ,10.0,0,Nvidia,75,512 ,512,128,400,GDDR3,No,4,80,01/04/2007 ,$0.00,16.0,9
GeForce 8600 GT,Tesla G84 ,10.0,0,Nvidia,47,256 ,256,128,700,GDDR3,No,4,80,01/04/2007 ,$0.00,16.0,9
GeForce 8600 GT Inno3D 1GB GDDR2,Tesla G84 ,10.0,0,Nvidia,0,1024 ,1024,128,400,GDDR3,No,4,80,01/06/2007 ,$0.00,16.0,9
GeForce 8600 GT Inno3D 256MB GDDR2,Tesla G84 ,10.0,0,Nvidia,0,256 ,256,128,400,GDDR3,No,4,80,01/06/2007 ,$0.00,16.0,9
GeForce 8600 GT 256MB DDR3 Fatal1ty Edition,Tesla G84 ,10.0,0,Nvidia,0,256 ,256,128,850,GDDR3,No,5,80,01/06/2007 ,$0.00,16.0,10
GeForce GT 130,Tesla G94b ,10.0,0,Nvidia,75,768 ,768,192,500,DDR2,No,8,55,01/03/2009 ,$0.00,32.0,16
GeForce 8500 GT Inno3D 1GB Edition,Tesla G86 ,10.0,0,Nvidia,30,1024 ,1024,128,400,DDR2,No,2,80,01/05/2007 ,$0.00,8.0,4
GeForce GTX 285,Tesla G200/350/B3 ,10.0,0,Nvidia,204,1024 ,1024,512,1242,GDDR3,No,21,55,23/12/2008 ,$359.00,80.0,52
GeForce 8500 GT,Tesla G86 ,10.0,0,Nvidia,30,256 ,256,128,400,DDR2,No,2,80,01/04/2007 ,$0.00,8.0,4
GeForce 8400 GS,Tesla G86 ,10.0,0,Nvidia,18,256 ,256,64,400,DDR2,No,2,80,17/04/2007 ,$0.00,8.0,4
GeForce 8300 GS,Tesla G86 ,10.0,0,Nvidia,40,512 ,512,64,800,DDR2,No,2,80,01/07/2007 ,$0.00,8.0,4
GeForce 8400 GS Rev. 2,Tesla G98 ,10.0,0,Nvidia,25,512 ,512,64,400,DDR2,No,5,65,01/12/2007 ,$0.00,8.0,5
Quadro NVS 290,G86 ,10.0,0,Nvidia,21,256 ,256,64,400,DDR2,No,2,80,04/10/2007 ,$0.00,8.0,4
GeForce GTX 295 EVGA CO/OP 1792MB Edition,Tesla G200/400/B3 (x2) ,10.0,,Nvidia,289,1792 ,1792,448,1008,GDDR3,No,32,55,15/06/2009 ,$0.00,80.0,92
GeForce GT 330,G92b ,10.0,0,Nvidia,75,256 ,256,128,510,DDR2,No,8,55,01/02/2010 ,$0.00,56.0,28
GeForce GTX 295 EVGA CO/OP Hydro Copper 1792MB Edition,Tesla G200/400/B3 (x2) ,10.0,,Nvidia,289,1792 ,1792,448,1053,GDDR3,No,34,55,15/06/2009 ,$0.00,80.0,96
GeForce GTX 295 EVGA Red 1792MB Edition,Tesla G200/400/B3 (x2) ,10.0,,Nvidia,289,1792 ,1792,448,999,GDDR3,No,32,55,08/01/2009 ,$0.00,80.0,92
GeForce GTX 285 SLI,Tesla GT200 B3 (x2) ,10.0,,Nvidia,408,2048 ,2048,512,1242,GDDR3,No,41,55,01/12/2008 ,$0.00,80.0,104
GeForce 8600 GS,G84 ,10.0,0,Nvidia,47,256 ,256,128,400,DDR2,No,4,80,01/04/2007 ,$0.00,8.0,4
GeForce GT 140,Tesla G94b ,10.0,0,Nvidia,105,1024 ,1024,256,900,GDDR3,No,10,55,01/03/2009 ,$0.00,32.0,21
GeForce GTS 150,Tesla G92b ,10.0,0,Nvidia,141,1024 ,1024,256,1000,GDDR3,No,12,55,01/03/2009 ,$0.00,64.0,47
Radeon HD 2600 XT 256MB GDDR4,RV630 ,10.0,0,AMD,50,256 ,256,128,1100,GDDR4,No,3,65,26/06/2007 ,$0.00,8.0,6
Radeon HD 2600 XT Diamond Edition,RV630 ,10.0,0,AMD,0,256 ,256,128,1150,GDDR4,No,3,65,01/07/2007 ,$0.00,8.0,7
Radeon HD 2900 Pro,R600 PRO ,10.0,0,AMD,200,512 ,512,256,800,GDDR3,No,10,80,07/12/2007 ,$0.00,16.0,10
Radeon HD 2600 XT,RV630 ,10.0,0,AMD,45,256 ,256,128,700,GDDR3,No,3,65,28/06/2007 ,$0.00,8.0,6
Radeon HD 2350 Pro,RV610 ,10.0,0,AMD,20,256 ,256,64,400,DDR2,No,2,65,01/01/2007 ,$0.00,4.0,2
Radeon HD 2400 MSI Pro 256MB GDDR2,RV610 ,10.0,0,AMD,0,256 ,256,64,400,DDR2,No,2,65,01/07/2007 ,$0.00,4.0,2
Radeon HD 2400 Pro,RV610 ,10.0,0,AMD,20,256 ,256,64,400,DDR2,No,2,65,28/06/2007 ,$0.00,4.0,2
Radeon HD 2900 XT 512MB,R600 XT ,10.0,0,AMD,215,512 ,512,512,828,GDDR3,No,12,80,14/05/2007 ,$0.00,16.0,12
Radeon HD 2600 Pro,RV630 ,10.0,0,AMD,35,256 ,256,128,500,DDR2,No,2,65,28/06/2007 ,$0.00,8.0,5
Radeon HD 2400 Pro PCI/E,RV610 ,10.0,0,AMD,25,256 ,256,64,400,DDR2,No,2,65,01/06/2007 ,$0.00,4.0,2
Radeon HD 2400 XT ,RV610 ,10.0,0,AMD,25,256 ,256,64,500,GDDR3,No,3,65,28/06/2007 ,$0.00,4.0,3
Radeon HD 2900 GT,R600 GT ,10.0,0,AMD,150,256 ,256,256,800,GDDR3,No,7,80,06/11/2007 ,$0.00,12.0,7
GeForce GT 240M,Tesla GT216/N10P/GS ,10.1,0,Nvidia,23,1024 ,1024,128,800,DDR3,Yes,4,40,01/06/2009 ,$0.00,16.0,9
Mobility Radeon HD 4870 x2,RV770 ,10.1,0,AMD,130,2048 ,2048,512,700,GDDR5,Yes,9,55,09/01/2009 ,$0.00,40.0,22
GeForce GT 220 v3,Tesla GT216/055/A3 ,10.1,0,Nvidia,58,512 ,512,128,1000,DDR2,No,5,40,12/10/2009 ,$0.00,16.0,10
GeForce GT 220 v2 Galaxy 1GB Edition,Tesla GT215/450/A2 ,10.1,0,Nvidia,58,1024 ,1024,128,400,GDDR2,No,5,40,12/10/2009 ,$0.00,16.0,10
Radeon HD 4650,R700 RV730PRO ,10.1,0,AMD,48,512 ,512,128,400,DDR2,No,5,55,01/09/2008 ,$0.00,32.0,19
GeForce GT 220 v2 MSI 1GB Edition,Tesla GT215/450/A2 ,10.1,0,Nvidia,58,1024 ,1024,128,400,GDDR2,No,5,40,12/10/2009 ,$0.00,16.0,10
GeForce GT 220 v2,Tesla GT215/450/A2 ,10.1,0,Nvidia,58,1024 ,1024,128,790,GDDR3,No,5,40,12/10/2009 ,$0.00,16.0,10
GeForce 205,Tesla GT218/200/B1 ,10.1,0,Nvidia,31,512 ,512,64,400,DDR2,No,2,40,26/11/2009 ,$0.00,4.0,2
GeForce 210 1GB,Tesla GT218/300/B1 ,10.1,0,Nvidia,31,1024 ,1024,64,500,DDR2,No,2,40,12/10/2009 ,$0.00,8.0,5
GeForce 210,Tesla GT218/300/B1 ,10.1,0,Nvidia,31,512 ,512,64,500,GDDR2,No,2,40,01/10/2009 ,$0.00,8.0,5
GeForce GT 240,Tesla GT215/450/A2 ,10.1,0,Nvidia,69,1024 ,1024,128,850,GDDR5,No,4,40,01/11/2009 ,$80.00,32.0,18
GeForce 405,Tesla GT218 ,10.1,0,Nvidia,25,1024 ,1024,64,790,DDR3,No,2,40,16/09/2011 ,$0.00,8.0,5
GeForce 310M v2,Tesla GT218/N11M/GE1 ,10.1,0,Nvidia,14,1024 ,1024,64,667,DDR3,Yes,2,40,10/01/2010 ,$0.00,8.0,5
GeForce 305M,Tesla GT218/N11M/LP1 ,10.1,0,Nvidia,14,512 ,512,64,700,DDR3,Yes,2,40,10/01/2010 ,$0.00,8.0,4
GeForce 315M,Tesla GT218/N11M/GE1 ,10.1,0,Nvidia,14,512 ,512,64,790,DDR3,Yes,2,40,05/01/2011 ,$0.00,8.0,5
GeForce 310M,Tesla GT218/N11M/GE1 ,10.1,0,Nvidia,14,512 ,512,64,790,DDR3,Yes,3,40,10/01/2010 ,$0.00,8.0,5
GeForce GT 320M,GT216 ,10.1,0,Nvidia,14,1024 ,1024,128,790,DDR3,Yes,4,40,21/01/2010 ,$0.00,8.0,4
GeForce GT 325M,GT216 ,10.1,0,Nvidia,23,1024 ,1024,128,1066,DDR3,Yes,4,40,10/01/2010 ,$0.00,16.0,7
Radeon HD 4650 v2,R700 RV730 PRO ,10.1,0,AMD,48,1024 ,1024,128,750,GDDR3,No,5,55,10/09/2008 ,$0.00,32.0,19
GeForce GTS 250M,Tesla GT215/N10E/GE/A2 ,10.1,0,Nvidia,28,1024 ,1024,128,800,GDDR5,Yes,4,40,01/06/2009 ,$0.00,32.0,16
GeForce GTS 260M,Tesla GT215/N10E/GS ,10.1,0,Nvidia,38,1024 ,1024,128,900,GDDR5,Yes,4,40,01/06/2009 ,$0.00,32.0,18
Radeon HD 4650 1GB,R700 RV730 PRO ,10.1,0,AMD,48,1024 ,1024,128,700,DDR2,No,5,55,10/09/2008 ,$0.00,32.0,19
GeForce GT 230M,Tesla GT216/N10P/GE/A2 ,10.1,0,Nvidia,23,1024 ,1024,128,800,GDDR3,Yes,4,40,15/06/2009 ,$0.00,16.0,8
Radeon HD 4670 Asus 512MB Edition,R700 RV730 XT ,10.1,0,AMD,59,512 ,512,128,1004,GDDR3,No,6,55,09/10/2008 ,$0.00,32.0,24
GeForce G 210M,Tesla GT218/N10M/GS ,10.1,0,Nvidia,14,512 ,512,64,800,GDDR3,Yes,3,40,02/01/2009 ,$0.00,8.0,5
Radeon HD 4670 1GB,R700 RV730 XT ,10.1,0,AMD,59,1024 ,1024,128,800,GDDR3,No,6,55,10/09/2008 ,$0.00,32.0,24
Radeon HD 4670 Gigabyte 1GB Edition,R700 RV730 XT ,10.1,0,AMD,59,1024 ,1024,128,800,GDDR3,No,6,55,01/11/2009 ,$0.00,32.0,24
Radeon HD 4350 Asus Silent 512MB Edition,R700 RV710 ,10.1,0,AMD,20,512 ,512,64,400,DDR2,No,2,55,30/09/2008 ,$0.00,8.0,5
GeForce GTS 360M,GT215 ,10.1,0,Nvidia,38,1024 ,1024,128,900,GDDR5,Yes,4,40,07/01/2010 ,$0.00,32.0,18
GeForce GTS 350M,GT215 ,10.1,0,Nvidia,28,1024 ,1024,128,800,GDDR5,Yes,4,40,07/01/2010 ,$0.00,32.0,16
GeForce GT 335M,GT215 ,10.1,0,Nvidia,28,1024 ,1024,128,1066,DDR3,Yes,4,40,07/01/2010 ,$0.00,24.0,11
GeForce GT 330M,GT216 ,10.1,0,Nvidia,23,1024 ,1024,128,1066,DDR3,Yes,5,40,10/01/2010 ,$0.00,16.0,9
Radeon HD 4670 AGP,R700 RV730 XT ,10.1,0,AMD,59,1024 ,1024,128,800,GDDR3,No,6,55,17/07/2007 ,$0.00,32.0,24
Geforce 405M,Tesla GT218 ,10.1,0,Nvidia,14,512 ,512,64,800,GDDR3,Yes,2,40,10/05/2012 ,$0.00,8.0,5
Radeon HD 4730 ,RV770 CE ,10.1,0,AMD,110,512 ,512,128,900,GDDR5,No,6,55,08/06/2009 ,$0.00,32.0,24
Radeon HD 4750,RV740 PRO ,10.1,0,AMD,75,512 ,512,128,800,GDDR5,No,12,40,09/09/2009 ,$0.00,32.0,23
Radeon HD 4870 Sapphire Vapor/X 1GB Edition,R700 RV770 PRO ,10.1,0,AMD,150,1024 ,1024,256,900,GDDR5,No,12,55, 07/03/2009 ,$0.00,40.0,30
Radeon HD 4890 Sapphire Toxic 1GB Edition,R700 RV790 XT ,10.1,0,AMD,190,1024 ,1024,256,1050,GDDR5,No,15,55,26/05/2009 ,$249.00,40.0,38
Radeon HD 4870 X2,R700 XT ,10.1,0,AMD,420,2048 ,2048,512,900,GDDR5,No,24,55,01/04/2009 ,$0.00,80.0,60
Radeon HD 4890 Sapphire OC 1GB Edition,R700 RV790 XT ,10.1,0,AMD,190,1024 ,1024,256,1000,GDDR5,No,14,55,02/04/2009 ,$0.00,40.0,36
Radeon HD 4890 Sapphire Toxic Atomic 1GB Edition,R700 RV790 XT ,10.1,0,AMD,190,1024 ,1024,256,1050,GDDR5,No,16,55,19/05/2009 ,$0.00,40.0,40
Radeon HD 4890 Sapphire Vapor/X OC 1GB Edition,R700 RV790 XT ,10.1,0,AMD,190,1024 ,1024,256,1050,GDDR5,No,14,55,18/05/2009 ,$0.00,40.0,35
FireStream 9250,RV770 ,10.1,0,AMD,150,1024 ,1024,256,993,GDDR3,No,10,55,16/06/2008 ,$0.00,40.0,25
Radeon HD 4890,R700 RV790 XT ,10.1,0,AMD,190,1024 ,1024,256,975,GDDR5,No,14,55,02/04/2009 ,$249.00,40.0,34
FireStream 9170,RV670 ,10.1,0,AMD,105,2048 ,2048,256,800,GDDR3,No,13,55,08/11/2007 ,$0.00,16.0,13
